id,feature,section,requirement,primary_architecture_owner,decision_view,architecture_status,acceptance_state,packages,remap_note,scope,smallest_delta_or_test,original_candidate_owners,new_public_contract_required,recorded_architecture_decision_required
R077,F-conditional,Phase 2B,Define macOS AX/window/process invalidation guarantees.,platform,L3,platform_evidence_gap,not_requalified_this_pass,P09,This rescan did not audit native event completeness. Platform-specific positive invalidation proof is still required; no portable guarantee inferred.,RFC target; exact feature qualification remains separate,"A stale-list report is diagnostic evidence, not an accepted invalidation implementation.",G-conditional cua-4038 cua-4039,true,true
R078,F-conditional,Phase 2B,Define Windows UIA/window invalidation guarantees.,platform,L3,platform_evidence_gap,not_requalified_this_pass,P09,This rescan did not audit native event completeness. Platform-specific positive invalidation proof is still required; no portable guarantee inferred.,RFC target; exact feature qualification remains separate,No trustworthy native coverage is established by this scan.,G-conditional,true,true
R079,F-conditional,Phase 2B,Define Linux AT-SPI/window invalidation guarantees and limitations.,platform,L3,platform_evidence_gap,not_requalified_this_pass,P09,This rescan did not audit native event completeness. Platform-specific positive invalidation proof is still required; no portable guarantee inferred.,RFC target; exact feature qualification remains separate,X11/Wayland provider differences remain explicit.,G-conditional cua-3882,true,true
R080,F-conditional,Phase 2B,Include Driver-owned mutations and target lifecycle changes in invalidation.,browser-store,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P09,Existing browser document/liveness checks are not proof all requested semantic/visual fields stayed unchanged. Keep fresh read default and distinct not-modified response until a new guarantee is proven.,RFC target; exact feature qualification remains separate,Event-source health and missing-event uncertainty cannot be treated as unchanged.,C-tool C-capture,true,true
R081,F-conditional,Phase 2B,Return explicit not-modified versus freshly observed outcomes.,browser-store,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P09,Existing browser document/liveness checks are not proof all requested semantic/visual fields stayed unchanged. Keep fresh read default and distinct not-modified response until a new guarantee is proven.,RFC target; exact feature qualification remains separate,Do not return an old capture_id as though new pixels were captured.,G-conditional,true,true
R082,F-conditional,Phase 2B,Use current fresh observation when a platform cannot prove unchanged state.,browser-store,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P09,Existing browser document/liveness checks are not proof all requested semantic/visual fields stayed unchanged. Keep fresh read default and distinct not-modified response until a new guarantee is proven.,RFC target; exact feature qualification remains separate,Support may differ; absence of a signal is not a fresh-state proof.,G-conditional cua-2512,true,true
R083,F-conditional,Phase 2B,"Measure hit rate, fallbacks, events, false hits, savings and maintenance overhead.",browser-store,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P09,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,A hit that widens stale authority fails the experiment immediately.,G-conditional cua-4052,true,true
R084,F-conditional,Phase 2B,Stop if hits are negligible or invalidation upkeep costs about as much as observing.,browser-store,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P09,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Do not preserve state machinery merely to satisfy the roadmap.,G-conditional,true,true
R085,F-conditional,Phase 2B,Keep conditional observation opt-in with separate public-contract approval.,contract,L3,recorded_decision_required,not_requalified_this_pass,P09,Do not treat overlap or a tiny diff as approval; existing accepted boundaries constrain the proposed extension.,RFC target; exact feature qualification remains separate,Fallback/rollback remains fresh observe plus one validated action.,G-conditional cua-3931,true,true
R086,F-calibration,"Confidence, calibration, and replay","Do not assume a probability in [0,1] is calibrated.",caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P10,The optional chooser already has a bounded model-neutral result plus narrow typed guard; response schemas and candidate limits differ. Calibrate outside Driver; not a drop-in replacement or provider-PR scope expansion.,RFC target; exact feature qualification remains separate,Syntactic validation is distinct from empirical decision quality.,cua-3961,false,false
R087,F-calibration,"Confidence, calibration, and replay",Preserve available full score distributions.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P10,The optional chooser already has a bounded model-neutral result plus narrow typed guard; response schemas and candidate limits differ. Calibrate outside Driver; not a drop-in replacement or provider-PR scope expansion.,RFC target; exact feature qualification remains separate,Record backend-specific availability explicitly rather than inventing missing scores.,cua-3961,false,false
R088,F-calibration,"Confidence, calibration, and replay",Tag decision family and backend for replay and analysis.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P10,The optional chooser already has a bounded model-neutral result plus narrow typed guard; response schemas and candidate limits differ. Calibrate outside Driver; not a drop-in replacement or provider-PR scope expansion.,RFC target; exact feature qualification remains separate,"Selection, completion and reobserve must not share an unlabelled confidence field.",cua-4052 cua-3961,false,false
R089,F-calibration,"Confidence, calibration, and replay",Evaluate thresholds independently by decision family.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P10,The optional chooser already has a bounded model-neutral result plus narrow typed guard; response schemas and candidate limits differ. Calibrate outside Driver; not a drop-in replacement or provider-PR scope expansion.,RFC target; exact feature qualification remains separate,A universal threshold is out of scope.,C-recipe cua-4013,false,false
R090,F-calibration,"Confidence, calibration, and replay","Report coverage, false positives, false negatives, latency and task outcomes.",caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P10,The optional chooser already has a bounded model-neutral result plus narrow typed guard; response schemas and candidate limits differ. Calibrate outside Driver; not a drop-in replacement or provider-PR scope expansion.,RFC target; exact feature qualification remains separate,Validation must include confident but inappropriate choices and missing evidence.,C-recipe,false,false
R091,F-calibration,"Confidence, calibration, and replay",Retain enough controlled-fixture decision evidence for policy replay.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P10,The optional chooser already has a bounded model-neutral result plus narrow typed guard; response schemas and candidate limits differ. Calibrate outside Driver; not a drop-in replacement or provider-PR scope expansion.,RFC target; exact feature qualification remains separate,Do not turn raw private desktop histories into public benchmark artifacts.,C-recipe,false,false
R092,F-calibration,"Confidence, calibration, and replay",Keep calibration and provider policy outside Driver.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P10,The optional chooser already has a bounded model-neutral result plus narrow typed guard; response schemas and candidate limits differ. Calibrate outside Driver; not a drop-in replacement or provider-PR scope expansion.,RFC target; exact feature qualification remains separate,Any shared calibration helper requires independent repeated use first.,cua-3931,false,false
R093,F-calibration,"Confidence, calibration, and replay",Do not make optional planner-handoff routing a prerequisite for exact local rules.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P10,The optional chooser already has a bounded model-neutral result plus narrow typed guard; response schemas and candidate limits differ. Calibrate outside Driver; not a drop-in replacement or provider-PR scope expansion.,RFC target; exact feature qualification remains separate,A separate route classifier must earn the extra latency it adds.,cua-4013 cua-4014,false,false
R094,F-extraction,Phase 3,Wait for the same mechanism and contract in multiple independent consumers.,core,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P12,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Two languages of one recipe are not automatically two independent harness designs.,G-extract,false,false
R095,F-extraction,Phase 3,"Extract the smallest repeated mechanism, not a generic agent scheduler.",core,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P12,Prefer existing owners. capture_runtime is only a facade; two language ports are one consumer. Extract only when semantics and independent consumer evidence match.,RFC target; exact feature qualification remains separate,"Keep goals, planning, confidence and fallback above Driver.",G-extract cua-2447,false,false
R096,F-extraction,Phase 3,Reuse existing ownership before inventing a new state/runtime wrapper.,core,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P12,Prefer existing owners. capture_runtime is only a facade; two language ports are one consumer. Extract only when semantics and independent consumer evidence match.,RFC target; exact feature qualification remains separate,Identify which owner remains and which redundant path disappears.,cua-3473 C-expectation,false,false
R097,F-extraction,Phase 3,Consider prepared-action/postcondition reuse only after real repeated demand.,core,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P12,Prefer existing owners. capture_runtime is only a facade; two language ports are one consumer. Extract only when semantics and independent consumer evidence match.,RFC target; exact feature qualification remains separate,Do not turn one speculative candidate type into a public API prematurely.,G-extract C-recipe,false,false
R098,F-extraction,Phase 3,Consider shared telemetry or revision primitives only when their consumers agree.,core,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P12,Prefer existing owners. capture_runtime is only a facade; two language ports are one consumer. Extract only when semantics and independent consumer evidence match.,RFC target; exact feature qualification remains separate,Generated cross-component contract changes still require the RFC process.,G-extract cua-2512,false,false
R099,F-extraction,Phase 3,Preserve independent rollout and rollback of each extracted mechanism.,core,L4,owner_mapped_not_acceptance,not_requalified_this_pass,P12,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Keep reversibility without retaining two authoritative implementations.,G-extract G-native,false,false
R100,F-safety,Safety invariants,"Keep decision providers, credentials and model selection above Driver.",registry,L3,existing_boundary_documented_and_source_observed,not_requalified_this_pass,P10,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",Provider/candidate policy outside Driver; not proof every future caller complies.,No in-Driver Jev revival.,cua-3931,false,false
R101,F-safety,Safety invariants,Restrict model authority to caller-constructed bounded candidate IDs.,registry,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P10,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,"The model cannot invent tool names, arguments, coordinates, targets or delivery modes.",cua-3961 cua-3931,false,false
R102,F-safety,Safety invariants,Fail closed on unknown or stale candidate IDs.,registry,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P10,"Unknown effect and retained identity do not authorize replay. Model choice, request authority, native lifetime and capture validity remain separate.",RFC target; exact feature qualification remains separate,Preserve the existing validation and skip envelope across optimizations.,cua-3961 C-tool,false,false
R103,F-safety,Safety invariants,Never replay an ambiguously delivered mutation automatically.,registry,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P11,"Unknown effect and retained identity do not authorize replay. Model choice, request authority, native lifetime and capture validity remain separate.",RFC target; exact feature qualification remains separate,Retain partial progress and require new evidence before a new decision.,cua-4009 cua-3623,false,false
R104,F-safety,Safety invariants,Keep authorization distinct from snapshot or native-handle lifetime.,registry,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P08 P11,"Unknown effect and retained identity do not authorize replay. Model choice, request authority, native lifetime and capture validity remain separate.",RFC target; exact feature qualification remains separate,A retained lease cannot resurrect revoked authority or prove target freshness.,cua-3473 C-tool,false,false
R105,F-safety,Safety invariants,Keep untrusted or incomplete observations distinct from complete negative evidence.,predicate-truth,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P06,Incomplete observation cannot justify complete negative evidence. Native element.exists=false is explicitly rejected in the inspected implementation.,RFC target; exact feature qualification remains separate,No false absence inference from projected or missing data.,cua-3903 C-expectation,false,false
R106,F-safety,Safety invariants,Preserve ownership of admitted native work until it really exits.,native-permit,L3,existing_lifetime_mechanism_not_full_cancellation_qualification,not_requalified_this_pass,P05 P11,"SingleFlight already pins capacity to blocking-work lifetime; preserve it. Cooperative cancellation and transport teardown must compose with that owner, not replace it.",RFC target; exact feature qualification remains separate,A cancelled waiter is not proof the native worker stopped; no early permit release.,C-single-flight cua-3796,false,false
R107,F-safety,Safety invariants,Compose run cancellation with existing operation lifetime rather than a second scheduler.,native-permit,L3,existing_lifetime_mechanism_not_full_cancellation_qualification,not_requalified_this_pass,P11,"SingleFlight already pins capacity to blocking-work lifetime; preserve it. Cooperative cancellation and transport teardown must compose with that owner, not replace it.",RFC target; exact feature qualification remains separate,Transport request identity and held-input cleanup remain explicit design gates.,cua-3796 C-single-flight,false,false
R108,F-safety,Safety invariants,"Publish truthful execution, observation and application-outcome facts separately.",action-facts,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P06,"ActionResult, predicate result, oracle completion and cleanup outcome remain separate. Do not collapse skipped observation into no_change.",RFC target; exact feature qualification remains separate,Skipped check is not no-change; topology change must not overwrite actuator escalation.,cua-4009 cua-3373,false,false
R109,F-rollout,Benchmark design / gates / rollout,Use the same task corpus for baseline and optimized arms.,test-owner,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Retain task identity and independent outcome checks.,G0 C-recipe,false,false
R110,F-rollout,Benchmark design / gates / rollout,"Report completed-task wall time, medians, justified tails and correctness.",test-owner,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Do not report extreme percentiles from a tiny fixture sample.,G0 cua-4012,false,false
R111,F-rollout,Benchmark design / gates / rollout,Keep failures and abstentions in the comparison evidence.,test-owner,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Do not hide cost by reporting successful runs only.,G0 cua-3961,false,false
R112,F-rollout,Benchmark design / gates / rollout,Ship Phase 0 and Phase 1A as separately reversible recipe changes.,test-owner,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P12,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Telemetry need not semantically depend on backend-generalization PR merge order.,cua-4052 C-recipe,false,false
R113,F-rollout,Benchmark design / gates / rollout,Do not alter default Driver installs or make perception/model downloads mandatory.,worker,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P12,Optional parsing and model artifacts remain separately installed; no new default Driver dependency.,RFC target; exact feature qualification remains separate,Optional perception remains separately installed.,cua-3931,false,false
R114,F-rollout,Benchmark design / gates / rollout,Do not require old clients to understand a new revision contract before acceptance.,contract,L3,owner_mapped_not_acceptance,not_requalified_this_pass,P12,Generate from Rust source only after accepted public semantics; old-client fallback must preserve the previous fresh-read behavior.,RFC target; exact feature qualification remains separate,Generated SDK/schema compatibility is part of the corresponding decision.,G-conditional cua-2512,false,false
R115,F-rollout,Benchmark design / gates / rollout,Run focused tests for each change before a full native matrix.,test-owner,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P12,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Use the strongest existing owner test rather than multiplying duplicate tests.,cua-4094 G-native,false,false
R116,F-rollout,Benchmark design / gates / rollout,Run the full supported desktop matrix on each stable relevant candidate.,test-owner,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P12,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Mock or compile-only platform evidence is not native certification.,G-native,false,false
R117,F-rollout,Benchmark design / gates / rollout,Tie evidence to exact source and account explicitly for later deltas.,test-owner,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P01 P12,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Revalidate affected evidence when shared runner files or contracts change.,G-native cua-4052,false,false
R118,F-rollout,Benchmark design / gates / rollout,Remove optimizations that fail their latency or correctness gates.,test-owner,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P12,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Retain useful measurement evidence even when reverting the mechanism.,G0 G-native,false,false
R119,F-rollout,Benchmark design / gates / rollout,"Rollback to fresh observation, one validated action and fresh verification.",test-owner,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P12,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Do not leave two competing state authorities active.,G-conditional G-guarded,false,false
R120,F-rollout,Benchmark design / gates / rollout,Preserve contributor authorship and recorded scope decisions when consolidating.,delivery-system,L1,owner_mapped_not_acceptance,not_requalified_this_pass,P12,"Contributors are independent owners, not presumed workers assigned by our graph. Preserve source authorship and ask before expanding selected work.",RFC target; exact feature qualification remains separate,Extend selected work transparently; do not absorb someone else's work by rewriting attribution.,cua-3473 cua-4094,false,false
